vendor_field,vendor_type,fgt_type,fgt_subtype,ecs_field,transform,required,notes
app,string,traffic,*,network.application,to_lowercase,false,"Nome da aplicação (ex: HTTPS.BROWSER)"
appcat,string,traffic,*,labels.fgt_appcat,copy,false,"Categoria da aplicação (Web.Client, Network.Service)"
apprisk,string,traffic,*,labels.fgt_apprisk,copy,false,"Risco da aplicação (low/medium/elevated)"
applist,string,traffic,*,labels.fgt_applist,copy,false,"Nome do perfil de application control aplicado"
countapp,integer,traffic,*,labels.fgt_countapp,to_int,false,

# --- UTM ---
utmaction,string,traffic,*,labels.fgt_utmaction,copy,false,"allow/block — ação do perfil UTM na sessão"
utmref,string,traffic,*,labels.fgt_utmref,copy,false,"Referência cruzada para o log UTM detalhado"

# --- Campos enriquecidos pelo Vector (não vêm do payload syslog) ---
_enrichment_observer_ip,ip,traffic,*,observer.ip,derived,true,"IP de origem do pacote syslog recebido pelo Vector"
_enrichment_observer_hostname,string,traffic,*,observer.hostname,derived,true,"Mapeamento IP→hostname: FGT-600F, FGT-200F"
_enrichment_observer_type,string,traffic,*,observer.type,derived,true,"Valor fixo: 'firewall'"
_enrichment_observer_vendor,string,traffic,*,observer.vendor,derived,true,"Valor fixo: 'Fortinet'"
_enrichment_observer_product,string,traffic,*,observer.product,derived,true,"Valor fixo: 'FortiGate'"
_enrichment_related_ip,ip,traffic,*,related.ip,derived,true,"Array [source.ip, destination.ip, source.nat.ip]"

# ─────────────────────────────────────────────────────────────────────────────
# FortiGate 7.6.x — type=event, subtype=vpn (IPsec e SSL-VPN)
# Classe legal: Registro de CONEXÃO (Marco Civil art. 13) — retenção 12 meses
# Fonte: docs.fortinet.com/document/fortigate/7.6.6/administration-guide/834425
# ─────────────────────────────────────────────────────────────────────────────

date,date,event,vpn,event.created,discard,false,"Componente usado apenas para formar @timestamp junto com 'time'; event.created é preenchido via eventtime quando disponível, ou copiado de @timestamp em common/timestamp.vrl"
time,date,event,vpn,@timestamp,date_time_to_iso,true,"Combina .date + .time (strings) via parse_timestamp no VRL"
eventtime,date,event,vpn,event.start,epoch_to_iso,false,"Timestamp Unix em nanosegundos — fonte primária"
logid,string,event,vpn,event.code,copy,true,"Ex: 0101037138 — tunnel-up, tunnel-down, negotiate..."
type,string,event,vpn,event.kind,derived,true,"Valor fixo: 'event'"
subtype,string,event,vpn,event.category,derived,true,"Mapeado para ['network','session']"
level,string,event,vpn,log.level,copy,false,
vd,string,event,vpn,labels.fgt_vd,copy,false,
logdesc,string,event,vpn,event.reason,copy,false,"Descrição textual do evento"
msg,string,event,vpn,message,copy,false,

# --- Endpoints do túnel ---
remip,ip,event,vpn,source.ip,ip_validate,true,"IP remoto (peer) — central para o Marco Civil"
remport,integer,event,vpn,source.port,to_int,false,"Tipicamente 500 (IKE) ou 4500 (NAT-T)"
locip,ip,event,vpn,destination.ip,ip_validate,true,"IP local do FortiGate"
locport,integer,event,vpn,destination.port,to_int,false,
outintf,string,event,vpn,observer.egress.interface.name,copy,false,

# --- Identidade ---
user,string,event,vpn,user.name,conditional,false,"'N/A' descartado no VRL"
group,string,event,vpn,labels.fgt_group,conditional,false,"'N/A' descartado — ECS user.group.name não está no sample; usar labels"
xauthuser,string,event,vpn,user.name,discard,false,"Redundante com 'user' em IPsec XAuth"
xauthgroup,string,event,vpn,labels.fgt_group,discard,false,
assignip,ip,event,vpn,destination.nat.ip,ip_validate,false,"IP interno atribuído ao cliente VPN — correlação Marco Civil"

# --- Túnel e sessão ---
vpntunnel,string,event,vpn,network.name,copy,false,"Nome do túnel configurado"
tunnelid,string,event,vpn,event.id,copy,true,"ID único do túnel — keyword no ECS"
tunneltype,string,event,vpn,network.type,to_lowercase,false,"ipsec ou ssl-tunnel"
tunnelip,ip,event,vpn,source.nat.ip,ip_validate,false,"IP virtual do túnel; 'N/A' descartado no VRL"
action,string,event,vpn,event.action,copy,true,"tunnel-up, tunnel-down, negotiate, tunnel-stats..."

# --- Volume ---
duration,integer,event,vpn,event.duration,s_to_ns,false,
sentbyte,integer,event,vpn,source.bytes,to_int,false,
rcvdbyte,integer,event,vpn,destination.bytes,to_int,false,

# --- Enriquecimento Vector ---
_enrichment_observer_ip,ip,event,vpn,observer.ip,derived,true,
_enrichment_observer_hostname,string,event,vpn,observer.hostname,derived,true,
_enrichment_observer_type,string,event,vpn,observer.type,derived,true,"Valor fixo: 'firewall'"
_enrichment_observer_vendor,string,event,vpn,observer.vendor,derived,true,"Valor fixo: 'Fortinet'"
_enrichment_observer_product,string,event,vpn,observer.product,derived,true,"Valor fixo: 'FortiGate'"
_enrichment_related_ip,ip,event,vpn,related.ip,derived,true,"Array [source.ip, destination.ip, destination.nat.ip]"
_enrichment_related_user,string,event,vpn,related.user,derived,false,"[user.name] quando diferente de 'N/A'"

# ─────────────────────────────────────────────────────────────────────────────
# FortiGate 7.6.x — type=event, subtype=user (autenticação)
# Classe legal: Registro de CONEXÃO (Marco Civil art. 13) — retenção 12 meses
# Fonte: docs.fortinet.com/document/fortigate/7.0.1/fortios-log-message-reference
# ─────────────────────────────────────────────────────────────────────────────

date,date,event,user,event.created,discard,false,"Componente usado apenas para formar @timestamp junto com 'time'; event.created é preenchido via eventtime quando disponível, ou copiado de @timestamp em common/timestamp.vrl"
time,date,event,user,@timestamp,date_time_to_iso,true,"Combina .date + .time (strings) via parse_timestamp no VRL"
eventtime,date,event,user,event.start,epoch_to_iso,false,
logid,string,event,user,event.code,copy,true,"Ex: 0102043008 — sucesso/falha de autenticação"
type,string,event,user,event.kind,derived,true,"Valor fixo: 'event'"
subtype,string,event,user,event.category,derived,true,"Mapeado para ['authentication']"
level,string,event,user,log.level,copy,false,
vd,string,event,user,labels.fgt_vd,copy,false,
logdesc,string,event,user,event.reason,copy,false,
msg,string,event,user,message,copy,false,

# --- Identidade e origem ---
srcip,ip,event,user,source.ip,ip_validate,true,"IP da tentativa de autenticação — central para o Marco Civil"
dstip,ip,event,user,destination.ip,ip_validate,false,"IP do serviço autenticado"
user,string,event,user,user.name,conditional,true,"'N/A' descartado"
group,string,event,user,labels.fgt_group,conditional,false,"'N/A' descartado"
interface,string,event,user,observer.ingress.interface.name,copy,false,
authproto,string,event,user,network.protocol,conditional,false,"Formato 'TELNET(10.1.100.11)' — extrair protocolo antes do parêntese no VRL"

# --- Resultado ---
action,string,event,user,event.action,copy,true,"'authentication'"
status,string,event,user,event.outcome,conditional,true,"success → success; failed → failure"
reason,string,event,user,event.reason,conditional,false,"Motivo da falha; 'N/A' descartado"

# --- Enriquecimento Vector ---
_enrichment_observer_ip,ip,event,user,observer.ip,derived,true,
_enrichment_observer_hostname,string,event,user,observer.hostname,derived,true,
_enrichment_observer_type,string,event,user,observer.type,derived,true,"Valor fixo: 'firewall'"
_enrichment_observer_vendor,string,event,user,observer.vendor,derived,true,"Valor fixo: 'Fortinet'"
_enrichment_observer_product,string,event,user,observer.product,derived,true,"Valor fixo: 'FortiGate'"
_enrichment_related_ip,ip,event,user,related.ip,derived,true,"Array [source.ip, destination.ip]"
_enrichment_related_user,string,event,user,related.user,derived,false,"[user.name] quando presente"
